iter	Passed	Remaining
0	109	54572
1	212	52915
2	315	52222
3	425	52769
4	531	52605
5	643	52993
6	748	52716
7	862	53022
8	973	53104
9	1076	52753
10	1184	52644
11	1298	52820
12	1403	52572
13	1503	52197
14	1598	51672
15	1701	51464
16	1797	51081
17	1895	50767
18	1998	50587
19	2100	50401
20	2204	50289
21	2309	50181
22	2414	50082
23	2519	49977
24	2623	49839
25	2722	49637
26	2829	49561
27	2925	49315
28	3031	49233
29	3135	49120
30	3237	48986
31	3386	49532
32	3501	49558
33	3603	49393
34	3726	49502
35	3831	49388
36	3934	49234
37	4037	49089
38	4135	48889
39	4265	49055
40	4393	49186
41	4495	49025
42	4607	48968
43	4704	48756
44	4803	48570
45	4915	48508
46	5029	48477
47	5143	48434
48	5248	48306
49	5365	48288
50	5473	48190
51	5572	48012
52	5676	47876
53	5789	47818
54	5911	47827
55	6028	47795
56	6139	47712
57	6244	47584
58	6336	47360
59	6435	47190
60	6531	47002
61	6632	46852
62	6748	46808
63	6879	46869
64	6998	46833
65	7098	46679
66	7216	46636
67	7336	46609
68	7452	46551
69	7569	46496
70	7682	46419
71	7805	46396
72	7921	46334
73	8028	46216
74	8127	46056
75	8223	45880
76	8326	45743
77	8421	45561
78	8516	45384
79	8623	45271
80	8760	45316
81	8872	45225
82	8977	45104
83	9077	44953
84	9172	44784
85	9270	44628
86	9373	44499
87	9498	44472
88	9622	44436
89	9734	44345
90	9854	44291
91	9971	44222
92	10071	44077
93	10164	43903
94	10252	43707
95	10348	43549
96	10446	43401
97	10542	43246
98	10640	43100
99	10757	43030
100	10874	42958
101	10977	42834
102	11082	42714
103	11184	42587
104	11280	42437
105	11377	42289
106	11473	42142
107	11562	41969
108	11656	41814
109	11741	41630
110	11835	41478
111	11928	41323
112	12023	41177
113	12112	41012
114	12203	40853
115	12302	40726
116	12398	40586
117	12494	40447
118	12595	40325
119	12690	40186
120	12780	40031
121	12876	39895
122	12985	39802
123	13120	39783
124	13220	39660
125	13314	39519
126	13412	39392
127	13520	39294
128	13626	39188
129	13728	39073
130	13825	38944
131	13920	38807
132	14014	38672
133	14117	38560
134	14227	38466
135	14346	38396
136	14475	38354
137	14593	38282
138	14703	38186
139	14870	38239
140	14977	38135
141	15084	38030
142	15196	37937
143	15300	37825
144	15413	37737
145	15524	37640
146	15638	37553
147	15758	37480
148	15868	37382
149	15975	37276
150	16084	37174
151	16208	37108
152	16313	36998
153	16441	36940
154	16565	36870
155	16679	36779
156	16810	36725
157	16916	36616
158	17035	36534
159	17134	36410
160	17229	36277
161	17326	36149
162	17420	36017
163	17518	35891
164	17616	35766
165	17709	35632
166	17811	35516
167	17907	35388
168	18007	35269
169	18110	35155
170	18211	35037
171	18308	34913
172	18405	34788
173	18500	34662
174	18600	34543
175	18697	34420
176	18803	34313
177	18908	34205
178	19015	34100
179	19118	33988
180	19212	33860
181	19316	33750
182	19450	33693
183	19559	33591
184	19664	33483
185	19786	33402
186	19886	33286
187	19995	33183
188	20119	33106
189	20239	33022
190	20344	32913
191	20442	32793
192	20547	32683
193	20652	32574
194	20755	32463
195	20853	32344
196	20952	32225
197	21053	32111
198	21160	32006
199	21266	31899
200	21372	31793
201	21489	31703
202	21602	31605
203	21708	31498
204	21817	31396
205	21926	31293
206	22043	31201
207	22161	31110
208	22272	31010
209	22387	30915
210	22501	30818
211	22613	30720
212	22732	30630
213	22843	30529
214	22966	30443
215	23074	30338
216	23187	30240
217	23325	30173
218	23453	30093
219	23572	30001
220	23685	29901
221	23798	29801
222	23919	29712
223	24023	29599
224	24133	29496
225	24244	29393
226	24354	29289
227	24458	29178
228	24561	29066
229	24664	28954
230	24834	28919
231	24930	28798
232	25026	28677
233	25122	28557
234	25215	28434
235	25319	28322
236	25416	28204
237	25511	28083
238	25607	27964
239	25707	27849
240	25798	27725
241	25895	27607
242	25990	27487
243	26087	27370
244	26184	27253
245	26289	27144
246	26383	27024
247	26479	26907
248	26574	26788
249	26669	26669
250	26769	26556
251	26894	26467
252	27006	26366
253	27104	26251
254	27203	26136
255	27306	26026
256	27411	25917
257	27515	25809
258	27613	25694
259	27709	25578
260	27810	25466
261	27912	25355
262	28029	25258
263	28146	25161
264	28251	25052
265	28344	24934
266	28437	24816
267	28539	24705
268	28645	24598
269	28751	24491
270	28859	24387
271	28950	24267
272	29040	24146
273	29138	24033
274	29241	23924
275	29346	23817
276	29439	23700
277	29532	23583
278	29623	23465
279	29709	23343
280	29808	23231
281	29905	23118
282	30013	23013
283	30119	22907
284	30213	22792
285	30311	22680
286	30403	22563
287	30500	22451
288	30604	22344
289	30698	22230
290	30795	22118
291	30890	22004
292	30984	21890
293	31086	21781
294	31190	21674
295	31306	21575
296	31416	21472
297	31514	21361
298	31610	21249
299	31710	21140
300	31809	21030
301	31912	20923
302	32010	20811
303	32107	20701
304	32208	20592
305	32314	20486
306	32416	20379
307	32516	20269
308	32616	20160
309	32718	20053
310	32836	19955
